full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,152386,152386,23633,170,170,30,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,52147,52147,8524,80,80,15,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8791,8791,14408,3,3,3,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1155,1155,2111,1,1,3,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,38255,38255,3121,36,36,6,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,32050,32050,2536,10,10,1,https://github.com/musistudio/claude-code-router
shanraisshan/claude-code-best-practice,38661,38661,3647,315,315,23,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,24480,24480,2403,10,10,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,728,728,1079,1,1,1,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2921,2921,3696,2,2,5,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2132,2132,3454,1,1,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17062,17062,1952,15,15,-1,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7022,7022,1699,2,2,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8622,8622,1591,5,5,0,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8717,8717,1344,8,8,2,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9446,9446,1207,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8618,8618,646,1,1,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,754,754,1729,1,1,0,https://github.com/hangsman/claude-code-source
liuup/claude-code-analysis,1433,1433,1206,4,4,2,https://github.com/liuup/claude-code-analysis
ykdojo/claude-code-tips,7449,7449,529,28,28,3,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2029,2029,2114,2,2,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,903,903,1817,0,0,4,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5778,5778,522,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,550,550,1279,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3777,3777,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
lintsinghua/claude-code-book,2596,2596,620,5,5,0,https://github.com/lintsinghua/claude-code-book
1rgs/claude-code-proxy,3420,3420,451,0,0,0,https://github.com/1rgs/claude-code-proxy
777genius/claude-code-source-code,894,894,1122,0,0,0,https://github.com/777genius/claude-code-source-code
qwibitai/nanoclaw,27169,27169,11753,6,6,16,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3511,3511,596,0,0,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3916,3916,373,0,0,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,115709,115709,13275,66,66,16,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7514,7514,376,2,2,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
lorryjovens-hub/claude-code-rust,1303,1303,543,5,5,2,https://github.com/lorryjovens-hub/claude-code-rust
kodu-ai/claude-coder,5280,5280,199,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,191,191,284,0,0,-1,https://github.com/zstmfhy/Claude-code
